id;nome;turma;matricula;celular
1;bandwidth neural;77019;90147;Rand
2;Adaptive invoice Executive;67745;33000;e-enable networks
3;cross-platform New Hampshire;14258;21061;SDD system
4;Creek HDD;80873;19798;Generic Steel Car Ne
5;SQL;4614;96750;Savings Account Tast
6;New Jersey Product green;68177;83945;synthesize Baby
7;Chad action-items payment;16004;33151;Incredible Granite F
8;Hong Kong Dollar policy Cambridgeshire;70293;34495;synthesize Tools
9;Bedfordshire e-commerce;95407;53142;Enhanced Shoes
10;Sudan Intranet intermediate;51128;37253;benchmark
